scenario,method,YT_mean,YT_std
baseline,raw,0.19520580237778687,0.03740521785093713
stress,raw,0.10318982380809726,0.0062256894365655254
pandemic,raw,0.19255323962225687,0.029030753966486047
baseline,naive,0.1606488173576541,2.7755575615628914e-17
stress,naive,0.09317284808785807,1.3877787807814457e-17
pandemic,naive,0.09854014776391871,1.3877787807814457e-17
baseline,anchored,0.10931335597174761,1.3877787807814457e-17
stress,anchored,0.09001327611072121,1.3877787807814457e-17
pandemic,anchored,0.08384503418307786,0.0
