t,from,to,P
10,A,C,0.004355093439096589
10,A,D,0.00255628305171926
10,B,A,0.01565810099169967
10,B,B,0.9268197548911885
10,B,C,0.048109329366647156
10,B,D,0.009412814750464592
10,C,A,0.004583332892637849
10,C,B,0.03789793705338023
10,C,C,0.9349960816362517
10,C,D,0.022522648417730058
10,D,A,0.0
10,D,B,0.0
10,D,C,0.0
10,D,D,1.0
11,A,A,0.90983253016987
11,A,B,0.07439801497540424
11,A,C,0.009331771987590295
11,A,D,0.006437682867135658
11,B,A,0.007958382816037127
11,B,B,0.8988702454090202
11,B,C,0.07575181018676902
11,B,D,0.017419561588173902
11,C,A,0.0020568964340564083
11,C,B,0.023493871385325302
11,C,C,0.941045879723746
11,C,D,0.0334033524568724
11,D,A,0.0
11,D,B,0.0
11,D,C,0.0
11,D,D,1.0
12,A,A,0.9405012386181694
12,A,B,0.050304006889160556
12,A,C,0.005674350783150282
12,A,D,0.003520403709519797
12,B,A,0.012446645009851718
12,B,B,0.9195340209664331
12,B,C,0.05636328573618314
12,B,D,0.011656048287531957
12,C,A,0.00348715605616428
12,C,B,0.032213299088787596
12,C,C,0.9384775877129227
12,C,D,0.0258219571421255
12,D,A,0.0
12,D,B,0.0
12,D,C,0.0
12,D,D,1.0
13,A,A,0.9659678548151827
13,A,B,0.029566185905275502
13,A,C,0.002900723004092826
13,A,D,0.0015652362754489007
13,B,A,0.0220805374115579
13,B,B,0.9335005095826624
13,B,C,0.037647411938319296
13,B,D,0.006771541067460441
13,C,A,0.006916886374723748
13,C,B,0.04833582925461537
13,C,C,0.9265096357649237
13,C,D,0.018237648605737112
13,D,A,0.0
13,D,B,0.0
13,D,C,0.0
13,D,D,1.0
14,A,A,0.9745848334373651
14,A,B,0.022350779037618444
14,A,C,0.0020401576012759035
14,A,D,0.001024229923740521
14,B,A,0.029517595170209385
14,B,B,0.9350315813118673
14,B,C,0.030368765431979743
14,B,D,0.005082058085943578
14,C,A,0.009806645638312579
14,C,B,0.05931973585588848
14,C,C,0.9157148681229464
14,C,D,0.0151587503828525
14,D,A,0.0
14,D,B,0.0
14,D,C,0.0
14,D,D,1.0
15,A,A,0.9286511274190323
15,A,B,0.05971374835495714
15,A,C,0.0070531410328648425
15,A,D,0.004581983193145769
15,B,A,0.010264785152795221
15,B,B,0.9116830869992102
15,B,C,0.06415881005736829
15,B,D,0.013893317790626343
15,C,A,0.0027752682776819373
15,C,B,0.02810981976641358
15,C,C,0.9402225507815961
15,C,D,0.028892361174308233
15,D,A,0.0
15,D,B,0.0
15,D,C,0.0
15,D,D,1.0
16,A,A,0.9421605821466795
16,A,B,0.048975333634657406
16,A,C,0.005485210769133593
16,A,D,0.0033788734495297508
16,B,A,0.012821755633731185
16,B,B,0.920602732016719
16,B,C,0.05523415432311471
16,B,D,0.011341358026434894
16,C,A,0.0036123731128136975
16,C,B,0.032897360604191975
16,C,C,0.9381163493110425
16,C,D,0.02537391697195196
16,D,A,0.0
16,D,B,0.0
16,D,C,0.0
16,D,D,1.0
17,A,A,0.9300661536284481
17,A,B,0.05859712818405013
17,A,C,0.006886043367560707
17,A,D,0.004450674819940837
17,B,A,0.01048726812663889
17,B,B,0.9126350723995614
17,B,C,0.0632506682931982
17,B,D,0.013626991180601495
17,C,A,0.002846507582087734
17,C,B,0.028538806622674027
17,C,C,0.9400781800344324
17,C,D,0.02853650576080576
17,D,A,0.0
17,D,B,0.0
17,D,C,0.0
17,D,D,1.0
18,A,A,0.9299321235552583
18,A,B,0.05870297230530119
18,A,C,0.006901843386886212
18,A,D,0.0044630607525543925
18,B,A,0.010465817776689958
18,B,B,0.9125450235377336
18,B,C,0.06333693263579043
18,B,D,0.013652226049786205
18,C,A,0.0028396251806652993
18,C,B,0.02849755871209158
18,C,C,0.9400924889530061
18,C,D,0.028570327154237
18,D,A,0.0
18,D,B,0.0
18,D,C,0.0
18,D,D,1.0
19,A,A,0.9390810751092863
19,A,B,0.051438932287634756
19,A,C,0.005837030440578125
19,A,D,0.003642962162500838
19,B,A,0.01214145728474372
19,B,B,0.9186116824003435
19,B,C,0.05732178448076091
19,B,D,0.011925075834151793
19,C,A,0.0033858683341052593
19,C,B,0.03165240485627804
19,C,C,0.938760158344631
19,C,D,0.026201568464985735
19,D,A,0.0
19,D,B,0.0
19,D,C,0.0
19,D,D,1.0
20,A,A,0.961211365540865
20,A,B,0.033500879556294744
20,A,C,0.0033952232487706384
20,A,D,0.0018925316540695585
20,B,A,0.01935054711039996
20,B,B,0.9315428821431829
20,B,C,0.04141206918284281
20,B,D,0.007694501563574304
20,C,A,0.005904252836479299
20,C,B,0.04402768197657388
20,C,C,0.9302723219129786
20,C,D,0.019795743273968103
20,D,A,0.0
20,D,B,0.0
20,D,C,0.0
20,D,D,1.0
