t,M_forecast,M_realised,M_estimate
1,0.09619195582767032,-0.427776642319619,-0.427776642319619
2,0.8281925419610043,-0.12694685209979656,-0.12694685209979656
3,1.240280495447144,1.313569179850953,1.313569179850953
4,1.2066397375010638,0.030447185447398627,0.030447185447398627
5,0.7516817264850066,0.292019151117708,0.292019151117708
6,0.03762312691890998,-0.38042432860070263,-0.38042432860070263
7,-0.6943774592144242,-0.2860097332592444,-0.2860097332592444
8,-1.2078700331233454,-0.9827718047372687,-0.9827718047372687
9,-1.3498672298717602,-1.20701694027602,-1.20701694027602
10,-1.0977184597012672,-0.9461228345756022,-0.9461228345756022
11,-0.5592978148296659,-0.014261700557149704,-0.014261700557149704
12,0.07129815088088598,0.06792851621192648,0.06792851621192648
13,0.5847907247898078,1.2395137958686786,1.2395137958686786
14,0.8281925419610047,0.7827391627533169,0.7827391627533169
15,0.7516817264850064,1.5422048836764861,1.5422048836764861
16,0.41607032245896947,0.950848404627131,0.950848404627131
17,-0.03888768855708746,-0.10111150144014058,-0.10111150144014058
18,-0.45097564204322754,-1.1680903976676857,-1.1680903976676857
19,-0.6943774592144238,-0.5531967382605772,-0.5531967382605772
20,-0.7192712641612106,-0.02554080575981968,-0.02554080575981968
