t,M_forecast,M_realised,M_estimate
1,0.09619195582767032,-0.6277012984053731,0.07695356466213626
2,0.8281925419610043,1.1358905411305296,0.5130204764439439
3,1.240280495447144,-0.1983550144163373,0.8917155530671375
4,1.2066397375010638,0.8607799791788746,1.023572314987932
5,0.7516817264850066,0.6871586757073922,0.8286358024423301
6,0.03762312691890998,0.14635255658125323,0.35916894012327705
7,-0.6943774592144242,-0.3219706435947315,-0.232282209579886
8,-1.2078700331233454,-0.4159205590682296,-0.7543136587857809
9,-1.3498672298717602,-1.0321423769321802,-1.0451765319221156
10,-1.0977184597012672,0.09029339262181668,-1.0263985196311758
11,-0.5592978148296659,-0.7798746878818623,-0.7247976023849575
12,0.07129815088088598,-0.005776230565032681,-0.25729212989398886
13,0.5847907247898078,0.9764079132326839,0.21408875684275833
14,0.8281925419610047,1.327742663572916,0.5396095283882081
15,0.7516817264850064,0.5374068373751476,0.630877448073224
16,0.41607032245896947,0.4838944813388477,0.48496530887365275
17,-0.03888768855708746,-0.6347566391225599,0.176969225243153
18,-0.45097564204322754,-0.39261061175734235,-0.17386520539099024
19,-0.6943774592144238,-1.0355124614643962,-0.4501204067856348
20,-0.7192712641612106,-0.801306517531446,-0.5766115164193953
