t,M_forecast,M_realised,M_estimate
1,0.06420805304090238,-0.14308890901555626,0.028536912462623278
2,-0.020974521904291388,-0.05091141214916517,0.0006764681122082145
3,-0.14145437219292323,0.08056981633620641,-0.0475661447336535
4,-0.2681214977392136,0.15522509038544213,-0.10430827667737469
5,0.41203242072817226,0.8055016129216777,0.10820032627864463
6,0.30761349573529223,0.11857182482358226,0.13540163648732034
7,0.21896495786565257,0.02273254936960617,0.11352025481482628
8,0.14548135863781914,0.19260387223501102,0.08233934947171981
9,0.08555682233757253,0.34175608370340804,0.05299664469356002
10,0.03725267245684219,-0.3041740923966749,0.028108591080686446
11,-0.001358238553135549,0.28490698779002505,0.0077940030896422735
12,-0.0320298828475481,-0.40401279658470257,-0.008503170878027676
13,-0.056281773158512294,0.15381395985018267,-0.021458105544651548
14,-0.07539042047098976,-0.12537167945176003,-0.03169907587613007
15,-0.09040644859839242,-0.20042134204668288,-0.039764485186197074
16,-0.10218233865047466,-0.43819290258118143,-0.04609959762346759
17,-0.11140277996398756,-0.12127001895869272,-0.05106580449070503
18,-0.11861361064258369,0.1390865783188815,-0.05495309484298271
19,-0.12424757303221917,-0.04594951718566215,-0.05799239365908303
20,-0.12864632304799634,-0.4613757053639317,-0.06036659902204969
