t,from,to,P
6,C,C,0.93638261740918
6,C,D,0.023621398946291124
6,D,A,0.0
6,D,B,0.0
6,D,C,0.0
6,D,D,1.0
7,A,A,0.9844088284098229
7,A,B,0.013958405198218138
7,A,C,0.0011298054755839858
7,A,D,0.0005029609163748712
7,B,A,0.04740515148736372
7,B,B,0.9284491675370871
7,B,C,0.02102565104027015
7,B,D,0.003120029935279015
7,C,A,0.01736533212390829
7,C,B,0.08259532424441302
7,C,C,0.8890106901860386
7,C,D,0.011028653445640123
7,D,A,0.0
7,D,B,0.0
7,D,C,0.0
7,D,D,1.0
8,A,A,0.9946197097504651
8,A,B,0.004964626795657409
8,A,C,0.00030952575527853546
8,A,D,0.00010613769859902168
8,B,A,0.12540764885912822
8,B,B,0.8646211655347152
8,B,C,0.008948373789455705
8,B,D,0.0010228118167010768
8,C,A,0.056193941196771964
8,C,B,0.15857929524022837
8,C,C,0.780054483993884
8,C,D,0.0051722795691157095
8,D,A,0.0
8,D,B,0.0
8,D,C,0.0
8,D,D,1.0
9,A,A,0.9970239904570286
9,A,B,0.0027816012492781024
9,A,C,0.00014994948805076524
9,A,D,4.4458805642566847e-05
9,B,A,0.2048389563962887
9,B,B,0.789358172703635
9,B,C,0.005280951184789795
9,B,D,0.0005219197152865377
9,C,A,0.1015248571868593
9,C,B,0.21419495483205497
9,C,C,0.6810946677712102
9,C,D,0.003185520209875588
9,D,A,0.0
9,D,B,0.0
9,D,C,0.0
9,D,D,1.0
10,A,A,0.9969081138445239
10,A,B,0.0028877179287765163
10,A,C,0.00015713845450267166
10,A,D,4.70297721968729e-05
10,B,A,0.19875538809172005
10,B,B,0.7952264933915112
10,B,C,0.005472196251508052
10,B,D,0.0005459222652607289
10,C,A,0.09790003435379811
10,C,B,0.21046257577838223
10,C,C,0.6883445924386438
10,C,D,0.003292797429175894
10,D,A,0.0
10,D,B,0.0
10,D,C,0.0
10,D,D,1.0
11,A,A,0.9942862000956293
11,A,B,0.005264756367128068
11,A,C,0.000333117764782358
11,A,D,0.00011592577246033139
11,B,A,0.1190188313832294
11,B,B,0.8704720671112727
11,B,C,0.009416750948451758
11,B,D,0.0010923505570460466
11,C,A,0.05276007822420654
11,C,B,0.15334904720461923
11,C,C,0.7884742719851018
11,C,D,0.005416602586072463
11,D,A,0.0
11,D,B,0.0
11,D,C,0.0
11,D,D,1.0
12,A,A,0.9851830411560446
12,A,B,0.013287824636157762
12,A,C,0.0010621624076162333
12,A,D,0.0004669718001814583
12,B,A,0.049761757159298384
12,B,B,0.9270538442887151
12,B,C,0.020221053333195564
12,B,D,0.002963345218791096
12,C,A,0.01841299452333352
12,C,B,0.0854151921314624
12,C,C,0.8855113608376498
12,C,D,0.01066045250755429
12,D,A,0.0
12,D,B,0.0
12,D,C,0.0
12,D,D,1.0
13,A,A,0.9614677986136714
13,A,B,0.03328955119209389
13,A,C,0.003368247823106679
13,A,D,0.0018744023711279435
13,B,A,0.019481054655710223
13,B,B,0.931661078152365
13,B,C,0.04121297302897231
13,B,D,0.0076448941629525535
13,C,A,0.005952001270559462
13,C,B,0.044237627908388505
13,C,C,0.9300965290019745
13,C,D,0.019713841819077538
13,D,A,0.0
13,D,B,0.0
13,D,C,0.0
13,D,D,1.0
14,A,A,0.9263773468406803
14,A,B,0.061504213998412514
14,A,C,0.007322964147274798
14,A,D,0.0047954750136325495
14,B,A,0.00992482294912029
14,B,B,0.9101479711373948
14,B,C,0.06560633995222218
14,B,D,0.0143208659612627
14,C,A,0.0026670397050574967
14,C,B,0.027449230375523586
14,C,C,0.9404250236347267
14,C,D,0.02945870628469223
14,D,A,0.0
14,D,B,0.0
14,D,C,0.0
14,D,D,1.0
15,A,A,0.9120545404721728
15,A,B,0.07267952223337275
15,A,C,0.009057590370693088
15,A,D,0.0062083469237612455
15,B,A,0.00818026077807026
15,B,B,0.900390063966679
15,B,C,0.07442523752185969
15,B,D,0.017004437733391005
15,C,A,0.0021243076709687113
15,C,B,0.02395274341019986
15,C,C,0.9410333122469823
15,C,D,0.03288963667184908
15,D,A,0.0
15,D,B,0.0
15,D,C,0.0
15,D,D,1.0
16,A,A,0.9338740867339799
16,A,B,0.05558298995967464
16,A,C,0.006439588239523535
16,A,D,0.0041033350668221065
16,B,A,0.011132203036879305
16,B,B,0.9151809889998841
16,B,C,0.06077756131805296
16,B,D,0.012909246645183529
16,C,A,0.0030548017073933364
16,C,B,0.029768162831726893
16,C,C,0.9396119091618277
16,C,D,0.027565126299052074
16,D,A,0.0
16,D,B,0.0
16,D,C,0.0
16,D,D,1.0
17,A,A,0.964242802977868
17,A,B,0.030996880365562293
17,A,C,0.0030786029483202315
17,A,D,0.0016817137082494106
17,B,A,0.021009191101622353
17,B,B,0.9328529808092516
17,B,C,0.039030847765689575
17,B,D,0.007106980323436455
17,C,A,0.006516099525824249
17,C,B,0.04666547785877639
17,C,C,0.9280058160669398
17,C,D,0.018812606548459537
17,D,A,0.0
17,D,B,0.0
17,D,C,0.0
17,D,D,1.0
18,A,A,0.9824401152603797
18,A,B,0.01565693519183395
18,A,C,0.0013048473837026634
18,A,D,0.0005981021640838372
18,B,A,0.04230123132468964
18,B,B,0.9311635487280417
18,B,C,0.023018263731270684
18,B,D,0.0035169562159980176
18,C,A,0.015134209133799231
18,C,B,0.0763136598785551
18,C,C,0.896621351944737
18,C,D,0.01193077904290851
18,D,A,0.0
18,D,B,0.0
18,D,C,0.0
18,D,D,1.0
19,A,A,0.9899978386506539
19,A,B,0.009079934044219064
19,A,C,0.0006590943735948306
19,A,D,0.00026313293153215644
19,B,A,0.07192781798727861
19,B,B,0.9112082100552427
19,B,C,0.01488332806151176
19,B,D,0.001980643895967007
19,C,A,0.02873090308957864
19,C,B,0.10990456173686979
19,C,C,0.85321473906832
19,C,D,0.008149796105231566
19,D,A,0.0
19,D,B,0.0
19,D,C,0.0
19,D,D,1.0
20,A,A,0.9922714381703142
20,A,B,0.007066594258829257
20,A,C,0.00048151283855066914
20,A,D,0.00018045473230572057
20,B,A,0.09102276890393089
20,B,B,0.895368887124497
20,B,C,0.012097143804063501
20,B,D,0.0015112001675087017
20,C,A,0.03817638251177052
20,C,B,0.12868467322714028
20,C,C,0.8263573001764642
20,C,D,0.006781644084624999
20,D,A,0.0
20,D,B,0.0
20,D,C,0.0
20,D,D,1.0
