t,M_forecast,M_realised,M_estimate
1,0.09619195582767032,-0.028346103422384306,0.04275198036785347
2,0.8281925419610043,0.7765781948490951,0.29816433003931875
3,1.240280495447144,1.469252238092987,0.5059219520455899
4,1.2066397375010638,0.20165815434595064,0.5550676727095785
5,0.7516817264850066,0.662668222936718,0.41619445168373226
6,0.03762312691890998,0.2348787705887996,0.13485404540110668
7,-0.6943774592144242,-0.3005720000322703,-0.19435485116663564
8,-1.2078700331233454,-1.6677021584346337,-0.46399880992417575
9,-1.3498672298717602,-1.514327591301534,-0.5909962563014535
10,-1.0977184597012672,-0.7564950951023521,-0.5433263738052525
11,-0.5592978148296659,-0.45954500682013955,-0.3479329475365073
12,0.07129815088088598,-0.447357840725384,-0.07811873829030436
13,0.5847907247898078,0.13417402853394977,0.17408924741538317
14,0.8281925419610047,0.8348476478251875,0.330132406071538
15,0.7516817264850064,-0.2213216414822755,0.35016344099603003
16,0.41607032245896947,0.759691094365328,0.24297290364847032
17,-0.03888768855708746,0.1490620782426933,0.05822589646000542
18,-0.45097564204322754,0.274055794480511,-0.1348453675509623
19,-0.6943774592144238,-0.23872623757742345,-0.27352824620203164
20,-0.7192712641612106,0.13752745063717192,-0.32262721108132386
