t,from,to,P
7,C,A,0.007602731754866429
7,C,B,0.05110014568486185
7,C,C,0.9239400914595762
7,C,D,0.017357031100695516
7,D,A,0.0
7,D,B,0.0
7,D,C,0.0
7,D,D,1.0
8,A,A,0.9704624578910338
8,A,B,0.025817599225518944
8,A,C,0.002445698584715948
8,A,D,0.001274244298731362
8,B,A,0.025437764470988656
8,B,B,0.9347346634539421
8,B,C,0.03393417379590123
8,B,D,0.0058933982791680795
8,C,A,0.008199204321065792
8,C,B,0.05341736787788002
8,C,C,0.9217043048162558
8,C,D,0.01667912298479833
8,D,A,0.0
8,D,B,0.0
8,D,C,0.0
8,D,D,1.0
9,A,A,0.9721655713971659
9,A,B,0.02438880956333332
9,A,C,0.0022767009700970964
9,A,D,0.00116891806940369
9,B,A,0.026982267653486845
9,B,B,0.9349773773854712
9,B,C,0.03248141738688561
9,B,D,0.005558937574156478
9,C,A,0.00880171199676374
9,C,B,0.05568452950416831
9,C,C,0.9194510725188425
9,C,D,0.01606268598022545
9,D,A,0.0
9,D,B,0.0
9,D,C,0.0
9,D,D,1.0
10,A,A,0.97353406716211
10,A,B,0.02323721255834221
10,A,C,0.0021423728131717942
10,A,D,0.0010863474663760566
10,B,A,0.028361685129495853
10,B,B,0.9350550914794341
10,B,C,0.031293774747722214
10,B,D,0.0052894486433479205
10,C,A,0.009346092124372679
10,C,B,0.05767514750801522
10,C,C,0.9174230904603472
10,C,D,0.015555669907264877
10,D,A,0.0
10,D,B,0.0
10,D,C,0.0
10,D,D,1.0
11,A,A,0.974601745960302
11,A,B,0.022336495503546768
11,A,C,0.002038519153591991
11,A,D,0.001023239382559298
11,B,A,0.029536950866188367
11,B,B,0.9350305523577407
11,B,C,0.03035378016326676
11,B,D,0.005078716612804225
11,C,A,0.009814390783690037
11,C,B,0.05934709827966219
11,C,C,0.9156862057878482
11,C,D,0.015152305148799516
11,D,A,0.0
11,D,B,0.0
11,D,C,0.0
11,D,D,1.0
12,A,A,0.9754274617118412
12,A,B,0.02163850654126273
12,A,C,0.0019587912612415936
12,A,D,0.0009752404856545576
12,B,A,0.030513026689682275
12,B,B,0.9349532264782079
12,B,C,0.02961830549114981
12,B,D,0.004915441340959943
12,C,A,0.010206355393085283
12,C,B,0.06071962167149517
12,C,C,0.9142386561187756
12,C,D,0.014835366816644015
12,D,A,0.0
12,D,B,0.0
12,D,C,0.0
12,D,D,1.0
13,A,A,0.9760648800584606
13,A,B,0.021098835110917126
13,A,C,0.0018976067849808017
13,A,D,0.0009386780456415242
13,B,A,0.03131065245362983
13,B,B,0.9348548813819063
13,B,C,0.02904525132098488
13,B,D,0.0047892148434788995
13,C,A,0.010528650856547571
13,C,B,0.06183079602096619
13,C,C,0.9130529756023658
13,C,D,0.014587577520120444
13,D,A,0.0
13,D,B,0.0
13,D,C,0.0
13,D,D,1.0
14,A,A,0.9765571788076917
14,A,B,0.020681511440974944
14,A,C,0.001850573004547251
14,A,D,0.0009107367467861817
14,B,A,0.0319551151657678
14,B,B,0.934753878389708
14,B,C,0.028599393220309882
14,B,D,0.0046916132242143345
14,C,A,0.010790338624718412
14,C,B,0.06272195559533522
14,C,C,0.9120934432848613
14,C,D,0.014394262495085106
14,D,A,0.0
14,D,B,0.0
14,D,C,0.0
14,D,D,1.0
15,A,A,0.9769378384834637
15,A,B,0.02035851062754267
15,A,C,0.001814339558216997
15,A,D,0.0008893113307766606
15,B,A,0.03247148875933353
15,B,B,0.9346597998213967
15,B,C,0.028252635272238688
15,B,D,0.004616076147031273
15,C,A,0.011000827297151967
15,C,B,0.06343180950600302
15,C,C,0.9113237730434455
15,C,D,0.014243590153399507
15,D,A,0.0
15,D,B,0.0
15,D,C,0.0
15,D,D,1.0
16,A,A,0.9772325429778999
16,A,B,0.020108255018952963
16,A,C,0.0017863695154483332
16,A,D,0.0008728324876989258
16,B,A,0.032882610022336556
16,B,B,0.9345768870597356
16,B,C,0.027982948865719576
16,B,D,0.004557554052208126
16,C,A,0.011168921972245402
16,C,B,0.06399436093189273
16,C,C,0.9107105105249298
16,C,D,0.014126206570932127
16,D,A,0.0
16,D,B,0.0
16,D,C,0.0
16,D,D,1.0
17,A,A,0.9774609600760769
17,A,B,0.01991417372917996
17,A,C,0.0017647403178364224
17,A,D,0.0008601258769068205
17,B,A,0.03320833356552771
17,B,B,0.934506323954682
17,B,C,0.027773172581528352
17,B,D,0.004512169898261827
17,C,A,0.011302417772835603
17,C,B,0.06443843873167146
17,C,C,0.9102243668367663
17,C,D,0.014034776658726628
17,D,A,0.0
17,D,B,0.0
17,D,C,0.0
17,D,D,1.0
18,A,A,0.9776381702469726
18,A,B,0.019763532076983576
18,A,C,0.001747990084896748
18,A,D,0.0008503075911469497
18,B,A,0.03346542002270109
18,B,B,0.9344476681784976
18,B,C,0.027609967135436477
18,B,D,0.004476944663364837
18,C,A,0.011407979734688326
18,C,B,0.06478793913941047
18,C,C,0.9098405118359846
18,C,D,0.013963569289916683
18,D,A,0.0
18,D,B,0.0
18,D,C,0.0
18,D,D,1.0
19,A,A,0.9777757621488873
19,A,B,0.01964652654891138
19,A,C,0.0017350029038804035
19,A,D,0.0008427083983209881
19,B,A,0.033667734352563324
19,B,B,0.9343997097260381
19,B,C,0.027482970637310197
19,B,D,0.004449585284088356
19,C,A,0.01149117298489747
19,C,B,0.06506236358375009
19,C,C,0.9095383492248899
19,C,D,0.013908114206462582
19,D,A,0.0
19,D,B,0.0
19,D,C,0.0
19,D,D,1.0
20,A,A,0.9778826615752014
20,A,B,0.01955559567405083
20,A,C,0.0017249238367578028
20,A,D,0.0008368189139898547
20,B,A,0.03382657999834679
20,B,B,0.9343609629272113
20,B,C,0.027384133801961835
20,B,D,0.004428323272480071
20,C,A,0.011556566008204872
20,C,B,0.065277448943359
20,C,C,0.9093010575114674
20,C,D,0.013864927536968673
20,D,A,0.0
20,D,B,0.0
20,D,C,0.0
20,D,D,1.0
