t,from,to,P
17,C,B,0.0685434410389898
17,C,C,0.9056490518036396
17,C,D,0.01323760608801814
17,D,A,0.0
17,D,B,0.0
17,D,C,0.0
17,D,D,1.0
18,A,A,0.9797516703184191
18,A,B,0.017962072509359068
18,A,C,0.001550312868499999
18,A,D,0.0007359443037218597
18,B,A,0.036861996007499516
18,B,B,0.9334510991786588
18,B,C,0.02563114402210863
18,B,D,0.004055760791733258
18,C,A,0.012818424812088714
18,C,B,0.06932615191293386
18,C,C,0.9047606706252275
18,C,D,0.0130947526497499
18,D,A,0.0
18,D,B,0.0
18,D,C,0.0
18,D,D,1.0
19,A,A,0.980014872580927
19,A,B,0.01773708838301547
19,A,C,0.0015259754423831032
19,A,D,0.0007220635936743486
19,B,A,0.03733289685543023
19,B,B,0.9332836229812096
19,B,C,0.02538031381807067
19,B,D,0.0040031663452894896
19,C,A,0.013016211802527924
19,C,B,0.06994419183528794
19,C,C,0.9040557214419885
19,C,D,0.012983874920195487
19,D,A,0.0
19,D,B,0.0
19,D,C,0.0
19,D,D,1.0
20,A,A,0.9802182674398793
20,A,B,0.01756312721009118
20,A,C,0.0015072122293855793
20,A,D,0.0007113931206438663
20,B,A,0.03770497031006484
20,B,B,0.9331467532104284
20,B,C,0.0251857759542327
20,B,D,0.003962500525273908
20,C,A,0.013172863580896583
20,C,B,0.07043068943510383
20,C,C,0.903498687177879
20,C,D,0.012897759806120727
20,D,A,0.0
20,D,B,0.0
20,D,C,0.0
20,D,D,1.0
