t,M_forecast,M_realised,M_estimate
1,-2.4226436875477946,-2.1246427488860746,-1.9381149500382358
2,-2.4226436875477946,-1.7528376377491983,-2.140940933181772
3,-1.4420630118568742,-1.5567272186186467,-1.6591024160543142
4,-0.28861733472902973,1.6815400626065669,-0.8343256643273994
5,-0.28861733472902973,-0.34116775360839247,-0.4984521708964658
6,-0.28861733472902973,-0.22820774250656856,-0.3612630424106063
7,0.5109430279385401,-0.11612933821593566,0.13128767575751982
8,0.5109430279385401,0.7468067763817001,0.3325821153010428
9,0.5109430279385401,0.40796037476274044,0.41484790703491703
10,0.5109430279385401,0.2875559999589735,0.4484687045640432
11,0.5109430279385401,-0.1066352876359181,0.4622090290992458
12,0.5109430279385401,-0.077365571759697,0.46782449804509246
13,0.5109430279385401,0.5962281517257975,0.47011945786757303
14,0.5109430279385401,0.4077684126605436,0.47105737431059486
15,0.5109430279385401,-0.20852368145183364,0.47144068701613584
16,0.5109430279385401,0.5143390482693296,0.471597341301945
17,0.5109430279385401,0.4619862352003959,0.47166136361304467
18,0.5109430279385401,0.9478665611137675,0.4716875285934584
19,0.5109430279385401,0.11633263012685643,0.47169822183755383
20,0.5109430279385401,0.3438527276255771,0.4717025920097261
